job_title_name,course_id,name,en_name,completions
Consulting,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,143
Consulting,36,Getting Started with Mistral,getting-started-with-mistral,135
Consulting,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,113
Consulting,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,101
Consulting,42,Introduction to on-device AI,introduction-to-on-device-ai,95
Consulting,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,95
Consulting,25,Automated Testing for LLMOps,automated-testing-llmops,88
Consulting,31,Efficiently Serving LLMs,efficiently-serving-llms,83
Consulting,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,83
Consulting,"1,002",Pretraining LLMs,pretraining-llms,83
Consulting,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,76
Consulting,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,75
Consulting,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,70
Consulting,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,66
Consulting,"1,003",Intro to Federated Learning,intro-to-federated-learning,56
Consulting,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,54
Consulting,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,53
Consulting,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,49
Consulting,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,25
Consulting,38,Quantization in Depth,quantization-in-depth,24
Data Analyst,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"7,521"
Data Analyst,16,Pair Programming with a Large Language Model,pair-programming-llm,"3,911"
Data Analyst,13,Finetuning Large Language Models,finetuning-large-language-models,"3,903"
Data Analyst,8,Building Systems with the ChatGPT API,chatgpt-building-system,"2,985"
Data Analyst,9,LangChain Chat with Your Data,langchain-chat-with-your-data,"2,977"
Data Analyst,6,LangChain for LLM Application Development,langchain,"2,937"
Data Analyst,7,How Diffusion Models Work,diffusion-models,"2,624"
Data Analyst,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,"2,345"
Data Analyst,12,Large Language Models with Semantic Search,large-language-models-semantic-search,"2,226"
Data Analyst,10,Building Generative AI Applications with Gradio,huggingface-gradio,"2,182"
Data Analyst,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,"2,179"
Data Analyst,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,"2,148"
Data Analyst,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,"2,069"
Data Analyst,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,919
Data Analyst,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,555
Data Analyst,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,509
Data Analyst,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,418
Data Analyst,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,365
Data Analyst,24,LLMOps,llmops,348
Data Analyst,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,335
Data Analyst,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,320
Data Analyst,45,Building Your Own Database Agent,building-your-own-database-agent,284
Data Analyst,26,Building Applications with Vector Databases,building-applications-vector-databases,282
Data Analyst,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,236
Data Analyst,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,230
Data Analyst,25,Automated Testing for LLMOps,automated-testing-llmops,217
Data Analyst,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,216
Data Analyst,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,192
Data Analyst,29,Open Source Models with Hugging Face,open-source-models-hugging-face,172
Data Analyst,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,172
Data Analyst,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,162
Data Analyst,30,Knowledge Graphs for RAG,knowledge-graphs-rag,161
Data Analyst,44,AI Agents in LangGraph,ai-agents-in-langgraph,148
Data Analyst,36,Getting Started with Mistral,getting-started-with-mistral,119
Data Analyst,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,115
Data Analyst,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,105
Data Analyst,33,Red Teaming LLM Applications,red-teaming-llm-applications,103
Data Analyst,42,Introduction to on-device AI,introduction-to-on-device-ai,99
Data Analyst,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,97
Data Analyst,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,93
Data Analyst,31,Efficiently Serving LLMs,efficiently-serving-llms,88
Data Analyst,"1,002",Pretraining LLMs,pretraining-llms,82
Data Analyst,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,77
Data Analyst,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,66
Data Analyst,"1,003",Intro to Federated Learning,intro-to-federated-learning,59
Data Analyst,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,55
Data Analyst,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,47
Data Analyst,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,43
Data Analyst,38,Quantization in Depth,quantization-in-depth,41
Data Analyst,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,28
Data Analyst,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,26
Data Scientist,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"8,390"
Data Scientist,6,LangChain for LLM Application Development,langchain,"4,883"
Data Scientist,9,LangChain Chat with Your Data,langchain-chat-with-your-data,"4,144"
Data Scientist,13,Finetuning Large Language Models,finetuning-large-language-models,"3,365"
Data Scientist,8,Building Systems with the ChatGPT API,chatgpt-building-system,"2,409"
Data Scientist,7,How Diffusion Models Work,diffusion-models,"1,801"
Data Scientist,12,Large Language Models with Semantic Search,large-language-models-semantic-search,"1,538"
Data Scientist,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,"1,469"
Data Scientist,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,"1,459"
Data Scientist,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,"1,440"
Data Scientist,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,"1,382"
Data Scientist,44,AI Agents in LangGraph,ai-agents-in-langgraph,"1,376"
Data Scientist,16,Pair Programming with a Large Language Model,pair-programming-llm,"1,348"
Data Scientist,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,"1,336"
Data Scientist,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,"1,313"
Data Scientist,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,"1,305"
Data Scientist,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,"1,296"
Data Scientist,24,LLMOps,llmops,"1,281"
Data Scientist,30,Knowledge Graphs for RAG,knowledge-graphs-rag,"1,163"
Data Scientist,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,"1,112"
Data Scientist,10,Building Generative AI Applications with Gradio,huggingface-gradio,"1,106"
Data Scientist,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,939
Data Scientist,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,891
Data Scientist,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,872
Data Scientist,45,Building Your Own Database Agent,building-your-own-database-agent,841
Data Scientist,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,838
Data Scientist,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,755
Data Scientist,29,Open Source Models with Hugging Face,open-source-models-hugging-face,731
Data Scientist,36,Getting Started with Mistral,getting-started-with-mistral,729
Data Scientist,26,Building Applications with Vector Databases,building-applications-vector-databases,723
Data Scientist,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,682
Data Scientist,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,532
Data Scientist,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,504
Data Scientist,"1,002",Pretraining LLMs,pretraining-llms,463
Data Scientist,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,462
Data Scientist,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,437
Data Scientist,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,421
Data Scientist,33,Red Teaming LLM Applications,red-teaming-llm-applications,405
Data Scientist,25,Automated Testing for LLMOps,automated-testing-llmops,378
Data Scientist,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,355
Data Scientist,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,342
Data Scientist,42,Introduction to on-device AI,introduction-to-on-device-ai,337
Data Scientist,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,296
Data Scientist,31,Efficiently Serving LLMs,efficiently-serving-llms,273
Data Scientist,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,212
Data Scientist,38,Quantization in Depth,quantization-in-depth,208
Data Scientist,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,203
Data Scientist,"1,003",Intro to Federated Learning,intro-to-federated-learning,202
Data Scientist,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,183
Data Scientist,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,134
Data Scientist,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,65
Educator / Teacher / Professor,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"1,070"
Educator / Teacher / Professor,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,814
Educator / Teacher / Professor,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,305
Educator / Teacher / Professor,9,LangChain Chat with Your Data,langchain-chat-with-your-data,228
Educator / Teacher / Professor,13,Finetuning Large Language Models,finetuning-large-language-models,221
Educator / Teacher / Professor,6,LangChain for LLM Application Development,langchain,208
Educator / Teacher / Professor,7,How Diffusion Models Work,diffusion-models,203
Educator / Teacher / Professor,8,Building Systems with the ChatGPT API,chatgpt-building-system,172
Educator / Teacher / Professor,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,143
Educator / Teacher / Professor,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,125
Educator / Teacher / Professor,29,Open Source Models with Hugging Face,open-source-models-hugging-face,118
Educator / Teacher / Professor,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,115
Educator / Teacher / Professor,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,112
Educator / Teacher / Professor,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,112
Educator / Teacher / Professor,16,Pair Programming with a Large Language Model,pair-programming-llm,96
Educator / Teacher / Professor,44,AI Agents in LangGraph,ai-agents-in-langgraph,89
Educator / Teacher / Professor,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,88
Educator / Teacher / Professor,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,85
Educator / Teacher / Professor,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,84
Educator / Teacher / Professor,42,Introduction to on-device AI,introduction-to-on-device-ai,83
Educator / Teacher / Professor,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,82
Educator / Teacher / Professor,30,Knowledge Graphs for RAG,knowledge-graphs-rag,82
Educator / Teacher / Professor,24,LLMOps,llmops,81
Educator / Teacher / Professor,10,Building Generative AI Applications with Gradio,huggingface-gradio,77
Educator / Teacher / Professor,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,77
Educator / Teacher / Professor,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,74
Educator / Teacher / Professor,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,73
Educator / Teacher / Professor,45,Building Your Own Database Agent,building-your-own-database-agent,73
Educator / Teacher / Professor,36,Getting Started with Mistral,getting-started-with-mistral,72
Educator / Teacher / Professor,12,Large Language Models with Semantic Search,large-language-models-semantic-search,69
Educator / Teacher / Professor,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,68
Educator / Teacher / Professor,"1,002",Pretraining LLMs,pretraining-llms,66
Educator / Teacher / Professor,26,Building Applications with Vector Databases,building-applications-vector-databases,62
Educator / Teacher / Professor,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,50
Educator / Teacher / Professor,33,Red Teaming LLM Applications,red-teaming-llm-applications,46
Educator / Teacher / Professor,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,46
Educator / Teacher / Professor,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,45
Educator / Teacher / Professor,"1,003",Intro to Federated Learning,intro-to-federated-learning,45
Educator / Teacher / Professor,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,41
Educator / Teacher / Professor,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,34
Educator / Teacher / Professor,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,31
Educator / Teacher / Professor,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,31
Educator / Teacher / Professor,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,30
Educator / Teacher / Professor,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,30
Educator / Teacher / Professor,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,27
Educator / Teacher / Professor,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,27
Educator / Teacher / Professor,25,Automated Testing for LLMOps,automated-testing-llmops,24
Educator / Teacher / Professor,31,Efficiently Serving LLMs,efficiently-serving-llms,22
Educator / Teacher / Professor,38,Quantization in Depth,quantization-in-depth,22
Educator / Teacher / Professor,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,21
Educator / Teacher / Professor,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,18
Entrepreneur,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"1,672"
Entrepreneur,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,752
Entrepreneur,6,LangChain for LLM Application Development,langchain,557
Entrepreneur,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,529
Entrepreneur,9,LangChain Chat with Your Data,langchain-chat-with-your-data,369
Entrepreneur,8,Building Systems with the ChatGPT API,chatgpt-building-system,350
Entrepreneur,13,Finetuning Large Language Models,finetuning-large-language-models,347
Entrepreneur,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,298
Entrepreneur,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,283
Entrepreneur,44,AI Agents in LangGraph,ai-agents-in-langgraph,255
Entrepreneur,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,210
Entrepreneur,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,204
Entrepreneur,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,193
Entrepreneur,7,How Diffusion Models Work,diffusion-models,171
Entrepreneur,45,Building Your Own Database Agent,building-your-own-database-agent,171
Entrepreneur,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,166
Entrepreneur,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,156
Entrepreneur,30,Knowledge Graphs for RAG,knowledge-graphs-rag,155
Entrepreneur,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,151
Entrepreneur,29,Open Source Models with Hugging Face,open-source-models-hugging-face,150
Entrepreneur,16,Pair Programming with a Large Language Model,pair-programming-llm,150
Entrepreneur,24,LLMOps,llmops,142
Entrepreneur,12,Large Language Models with Semantic Search,large-language-models-semantic-search,142
Entrepreneur,10,Building Generative AI Applications with Gradio,huggingface-gradio,138
Entrepreneur,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,132
Entrepreneur,26,Building Applications with Vector Databases,building-applications-vector-databases,128
Entrepreneur,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,125
Entrepreneur,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,121
Entrepreneur,36,Getting Started with Mistral,getting-started-with-mistral,120
Entrepreneur,42,Introduction to on-device AI,introduction-to-on-device-ai,115
Entrepreneur,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,113
Entrepreneur,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,100
Entrepreneur,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,94
Entrepreneur,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,93
Entrepreneur,33,Red Teaming LLM Applications,red-teaming-llm-applications,88
Entrepreneur,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,86
Entrepreneur,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,82
Entrepreneur,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,74
Entrepreneur,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,73
Entrepreneur,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,68
Entrepreneur,"1,002",Pretraining LLMs,pretraining-llms,56
Entrepreneur,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,54
Entrepreneur,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,51
Entrepreneur,25,Automated Testing for LLMOps,automated-testing-llmops,45
Entrepreneur,"1,003",Intro to Federated Learning,intro-to-federated-learning,38
Entrepreneur,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,36
Entrepreneur,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,31
Entrepreneur,31,Efficiently Serving LLMs,efficiently-serving-llms,30
Entrepreneur,38,Quantization in Depth,quantization-in-depth,26
Entrepreneur,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,25
Entrepreneur,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,11
Finance,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,749
Finance,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,384
Finance,13,Finetuning Large Language Models,finetuning-large-language-models,236
Finance,16,Pair Programming with a Large Language Model,pair-programming-llm,221
Finance,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,188
Finance,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,182
Finance,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,179
Finance,6,LangChain for LLM Application Development,langchain,120
Finance,8,Building Systems with the ChatGPT API,chatgpt-building-system,109
Finance,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,91
Finance,9,LangChain Chat with Your Data,langchain-chat-with-your-data,89
Finance,45,Building Your Own Database Agent,building-your-own-database-agent,56
Finance,7,How Diffusion Models Work,diffusion-models,52
Finance,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,50
Finance,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,48
Finance,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,48
Finance,44,AI Agents in LangGraph,ai-agents-in-langgraph,44
Finance,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,40
Finance,33,Red Teaming LLM Applications,red-teaming-llm-applications,40
Finance,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,38
Finance,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,36
Finance,29,Open Source Models with Hugging Face,open-source-models-hugging-face,36
Finance,36,Getting Started with Mistral,getting-started-with-mistral,35
Finance,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,34
Finance,30,Knowledge Graphs for RAG,knowledge-graphs-rag,33
Finance,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,33
Finance,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,33
Finance,10,Building Generative AI Applications with Gradio,huggingface-gradio,32
Finance,24,LLMOps,llmops,29
Finance,12,Large Language Models with Semantic Search,large-language-models-semantic-search,25
Finance,42,Introduction to on-device AI,introduction-to-on-device-ai,24
Finance,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,23
Finance,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,21
Finance,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,19
Finance,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,19
Finance,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,18
Finance,26,Building Applications with Vector Databases,building-applications-vector-databases,18
Finance,"1,002",Pretraining LLMs,pretraining-llms,18
Finance,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,15
Finance,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,14
Finance,25,Automated Testing for LLMOps,automated-testing-llmops,14
Finance,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,13
Finance,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,13
Finance,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,13
Finance,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,12
Finance,"1,003",Intro to Federated Learning,intro-to-federated-learning,11
Finance,31,Efficiently Serving LLMs,efficiently-serving-llms,11
Finance,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,10
Finance,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,9
Finance,38,Quantization in Depth,quantization-in-depth,9
Finance,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,7
General Management / Executive,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"1,557"
General Management / Executive,16,Pair Programming with a Large Language Model,pair-programming-llm,655
General Management / Executive,13,Finetuning Large Language Models,finetuning-large-language-models,631
General Management / Executive,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,559
General Management / Executive,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,529
General Management / Executive,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,427
General Management / Executive,6,LangChain for LLM Application Development,langchain,347
General Management / Executive,9,LangChain Chat with Your Data,langchain-chat-with-your-data,311
General Management / Executive,8,Building Systems with the ChatGPT API,chatgpt-building-system,289
General Management / Executive,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,228
General Management / Executive,7,How Diffusion Models Work,diffusion-models,210
General Management / Executive,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,194
General Management / Executive,24,LLMOps,llmops,126
General Management / Executive,44,AI Agents in LangGraph,ai-agents-in-langgraph,121
General Management / Executive,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,114
General Management / Executive,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,111
General Management / Executive,12,Large Language Models with Semantic Search,large-language-models-semantic-search,107
General Management / Executive,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,104
General Management / Executive,30,Knowledge Graphs for RAG,knowledge-graphs-rag,101
General Management / Executive,45,Building Your Own Database Agent,building-your-own-database-agent,98
General Management / Executive,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,93
General Management / Executive,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,89
General Management / Executive,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,87
General Management / Executive,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,85
General Management / Executive,26,Building Applications with Vector Databases,building-applications-vector-databases,84
General Management / Executive,10,Building Generative AI Applications with Gradio,huggingface-gradio,79
General Management / Executive,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,73
General Management / Executive,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,73
General Management / Executive,29,Open Source Models with Hugging Face,open-source-models-hugging-face,68
General Management / Executive,33,Red Teaming LLM Applications,red-teaming-llm-applications,68
General Management / Executive,42,Introduction to on-device AI,introduction-to-on-device-ai,63
General Management / Executive,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,62
General Management / Executive,36,Getting Started with Mistral,getting-started-with-mistral,62
General Management / Executive,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,59
