job_title_name,course_id,name,en_name,nps
Consulting,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,63.37
Consulting,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,63.33
Consulting,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,63.33
Consulting,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,62.16
Consulting,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,61.79
Consulting,8,Building Systems with the ChatGPT API,chatgpt-building-system,60.1
Consulting,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,57.58
Consulting,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,57.14
Consulting,26,Building Applications with Vector Databases,building-applications-vector-databases,56.58
Consulting,7,How Diffusion Models Work,diffusion-models,56.19
Consulting,10,Building Generative AI Applications with Gradio,huggingface-gradio,56.11
Consulting,24,LLMOps,llmops,55.83
Consulting,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,53.85
Consulting,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,53.23
Consulting,12,Large Language Models with Semantic Search,large-language-models-semantic-search,53.09
Consulting,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,52
Consulting,"1,002",Pretraining LLMs,pretraining-llms,51.22
Consulting,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,51.22
Consulting,16,Pair Programming with a Large Language Model,pair-programming-llm,48.19
Consulting,"1,003",Intro to Federated Learning,intro-to-federated-learning,47.83
Consulting,13,Finetuning Large Language Models,finetuning-large-language-models,47.59
Consulting,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,46.83
Consulting,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,46.15
Consulting,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,43.97
Consulting,42,Introduction to on-device AI,introduction-to-on-device-ai,43.75
Consulting,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,41.67
Consulting,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,40
Consulting,45,Building Your Own Database Agent,building-your-own-database-agent,38.96
Consulting,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,35.29
Consulting,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,35
Consulting,38,Quantization in Depth,quantization-in-depth,25
Consulting,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,22.22
Consulting,31,Efficiently Serving LLMs,efficiently-serving-llms,17.95
Data Analyst,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,100
Data Analyst,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,88.89
Data Analyst,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,84.62
Data Analyst,"1,003",Intro to Federated Learning,intro-to-federated-learning,80
Data Analyst,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,79.17
Data Analyst,29,Open Source Models with Hugging Face,open-source-models-hugging-face,78.87
Data Analyst,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,75.42
Data Analyst,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,72.58
Data Analyst,38,Quantization in Depth,quantization-in-depth,70.59
Data Analyst,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,69.69
Data Analyst,998,Generative AI for Everyone,genai4e,69.17
Data Analyst,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,69.14
Data Analyst,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,68
Data Analyst,44,AI Agents in LangGraph,ai-agents-in-langgraph,66.67
Data Analyst,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,64.41
Data Analyst,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,64.03
Data Analyst,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,64
Data Analyst,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,63.74
Data Analyst,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,63.03
Data Analyst,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,62.22
Data Analyst,36,Getting Started with Mistral,getting-started-with-mistral,62.07
Data Analyst,30,Knowledge Graphs for RAG,knowledge-graphs-rag,62
Data Analyst,26,Building Applications with Vector Databases,building-applications-vector-databases,61.97
Data Analyst,9,LangChain Chat with Your Data,langchain-chat-with-your-data,61.97
Data Analyst,25,Automated Testing for LLMOps,automated-testing-llmops,60.91
Data Analyst,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,60.8
Data Analyst,6,LangChain for LLM Application Development,langchain,60.26
Data Analyst,33,Red Teaming LLM Applications,red-teaming-llm-applications,60
Data Analyst,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,60
Data Analyst,8,Building Systems with the ChatGPT API,chatgpt-building-system,59.6
Data Analyst,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,59.43
Data Analyst,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,59.34
Data Analyst,42,Introduction to on-device AI,introduction-to-on-device-ai,59.09
Data Analyst,45,Building Your Own Database Agent,building-your-own-database-agent,59.09
Data Analyst,16,Pair Programming with a Large Language Model,pair-programming-llm,58.71
Data Analyst,7,How Diffusion Models Work,diffusion-models,58.48
Data Analyst,31,Efficiently Serving LLMs,efficiently-serving-llms,58.14
Data Analyst,24,LLMOps,llmops,57.87
Data Analyst,12,Large Language Models with Semantic Search,large-language-models-semantic-search,57.79
Data Analyst,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,57.31
Data Analyst,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,57.13
Data Analyst,13,Finetuning Large Language Models,finetuning-large-language-models,57.13
Data Analyst,10,Building Generative AI Applications with Gradio,huggingface-gradio,57.13
Data Analyst,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,56.79
Data Analyst,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,56.76
Data Analyst,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,56.74
Data Analyst,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,56.52
Data Analyst,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,56
Data Analyst,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,55.56
Data Analyst,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,54.85
Data Analyst,"1,002",Pretraining LLMs,pretraining-llms,54.55
Data Analyst,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,53.65
Data Analyst,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,52.78
Data Analyst,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,52.27
Data Analyst,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,51.85
Data Analyst,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,50
Data Analyst,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,50
Data Analyst,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,40
Data Analyst,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,38.89
Data Scientist,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,88.37
Data Scientist,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,88.24
Data Scientist,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,87.95
Data Scientist,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,85.19
Data Scientist,29,Open Source Models with Hugging Face,open-source-models-hugging-face,78.99
Data Scientist,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,78.26
Data Scientist,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,76.94
Data Scientist,9,LangChain Chat with Your Data,langchain-chat-with-your-data,76.53
Data Scientist,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,76.21
Data Scientist,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,75.54
Data Scientist,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,73.75
Data Scientist,31,Efficiently Serving LLMs,efficiently-serving-llms,73.53
Data Scientist,6,LangChain for LLM Application Development,langchain,72.63
Data Scientist,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,71.6
Data Scientist,8,Building Systems with the ChatGPT API,chatgpt-building-system,70.66
Data Scientist,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,70.5
Data Scientist,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,70.41
Data Scientist,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,69.27
Data Scientist,998,Generative AI for Everyone,genai4e,69.15
Data Scientist,"1,003",Intro to Federated Learning,intro-to-federated-learning,69.09
Data Scientist,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,68.89
Data Scientist,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,68.55
Data Scientist,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,68.14
Data Scientist,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,68.09
Data Scientist,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,67.42
Data Scientist,44,AI Agents in LangGraph,ai-agents-in-langgraph,67.24
Data Scientist,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,66.1
Data Scientist,"1,002",Pretraining LLMs,pretraining-llms,65.93
Data Scientist,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,65.89
Data Scientist,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,64.97
Data Scientist,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,64.48
Data Scientist,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,64.41
Data Scientist,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,64
Data Scientist,30,Knowledge Graphs for RAG,knowledge-graphs-rag,63.85
Data Scientist,36,Getting Started with Mistral,getting-started-with-mistral,63.21
Data Scientist,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,62.25
Data Scientist,10,Building Generative AI Applications with Gradio,huggingface-gradio,62.2
Data Scientist,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,61.36
Data Scientist,7,How Diffusion Models Work,diffusion-models,61.22
Data Scientist,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,59.84
Data Scientist,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,59.65
Data Scientist,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,58.82
Data Scientist,12,Large Language Models with Semantic Search,large-language-models-semantic-search,58.67
Data Scientist,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,58.11
Data Scientist,13,Finetuning Large Language Models,finetuning-large-language-models,56.62
Data Scientist,16,Pair Programming with a Large Language Model,pair-programming-llm,55.77
Data Scientist,42,Introduction to on-device AI,introduction-to-on-device-ai,55.21
Data Scientist,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,54.72
Data Scientist,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,54.36
Data Scientist,33,Red Teaming LLM Applications,red-teaming-llm-applications,53.28
Data Scientist,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,52.88
Data Scientist,25,Automated Testing for LLMOps,automated-testing-llmops,52.38
Data Scientist,38,Quantization in Depth,quantization-in-depth,52.11
Data Scientist,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,50.73
Data Scientist,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,50
Data Scientist,26,Building Applications with Vector Databases,building-applications-vector-databases,47.99
Data Scientist,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,45.37
Data Scientist,24,LLMOps,llmops,40.66
Data Scientist,45,Building Your Own Database Agent,building-your-own-database-agent,32.87
Educator / Teacher / Professor,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,100
Educator / Teacher / Professor,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,87.5
Educator / Teacher / Professor,44,AI Agents in LangGraph,ai-agents-in-langgraph,84.62
Educator / Teacher / Professor,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,84.62
Educator / Teacher / Professor,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,84.44
Educator / Teacher / Professor,"1,003",Intro to Federated Learning,intro-to-federated-learning,83.33
Educator / Teacher / Professor,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,83.33
Educator / Teacher / Professor,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,80.77
Educator / Teacher / Professor,42,Introduction to on-device AI,introduction-to-on-device-ai,80.77
Educator / Teacher / Professor,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,80
Educator / Teacher / Professor,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,80
Educator / Teacher / Professor,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,77.78
Educator / Teacher / Professor,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,76.19
Educator / Teacher / Professor,9,LangChain Chat with Your Data,langchain-chat-with-your-data,75.31
Educator / Teacher / Professor,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,75
Educator / Teacher / Professor,29,Open Source Models with Hugging Face,open-source-models-hugging-face,74
Educator / Teacher / Professor,998,Generative AI for Everyone,genai4e,73.69
Educator / Teacher / Professor,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,73.38
Educator / Teacher / Professor,36,Getting Started with Mistral,getting-started-with-mistral,73.08
Educator / Teacher / Professor,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,72.5
Educator / Teacher / Professor,8,Building Systems with the ChatGPT API,chatgpt-building-system,71.95
Educator / Teacher / Professor,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,71.43
Educator / Teacher / Professor,31,Efficiently Serving LLMs,efficiently-serving-llms,71.43
Educator / Teacher / Professor,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,71.06
Educator / Teacher / Professor,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,70.87
Educator / Teacher / Professor,12,Large Language Models with Semantic Search,large-language-models-semantic-search,70.83
Educator / Teacher / Professor,6,LangChain for LLM Application Development,langchain,70.65
Educator / Teacher / Professor,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,70
Educator / Teacher / Professor,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,68.42
Educator / Teacher / Professor,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,68.18
Educator / Teacher / Professor,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,65.96
Educator / Teacher / Professor,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,64.52
Educator / Teacher / Professor,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,64.1
Educator / Teacher / Professor,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,62.5
Educator / Teacher / Professor,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,61.05
Educator / Teacher / Professor,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,60
Educator / Teacher / Professor,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,60
Educator / Teacher / Professor,16,Pair Programming with a Large Language Model,pair-programming-llm,59.8
Educator / Teacher / Professor,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,59.46
Educator / Teacher / Professor,7,How Diffusion Models Work,diffusion-models,58.39
Educator / Teacher / Professor,"1,002",Pretraining LLMs,pretraining-llms,57.69
Educator / Teacher / Professor,30,Knowledge Graphs for RAG,knowledge-graphs-rag,53.57
Educator / Teacher / Professor,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,53.33
Educator / Teacher / Professor,13,Finetuning Large Language Models,finetuning-large-language-models,50.35
Educator / Teacher / Professor,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,50
Educator / Teacher / Professor,33,Red Teaming LLM Applications,red-teaming-llm-applications,50
Educator / Teacher / Professor,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,50
Educator / Teacher / Professor,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,48.15
Educator / Teacher / Professor,26,Building Applications with Vector Databases,building-applications-vector-databases,46.88
Educator / Teacher / Professor,10,Building Generative AI Applications with Gradio,huggingface-gradio,46.84
Educator / Teacher / Professor,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,46.43
Educator / Teacher / Professor,38,Quantization in Depth,quantization-in-depth,42.86
Educator / Teacher / Professor,45,Building Your Own Database Agent,building-your-own-database-agent,41.18
Educator / Teacher / Professor,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,40
Educator / Teacher / Professor,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,40
Educator / Teacher / Professor,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,37.5
Educator / Teacher / Professor,24,LLMOps,llmops,37.5
Educator / Teacher / Professor,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,35.29
Educator / Teacher / Professor,25,Automated Testing for LLMOps,automated-testing-llmops,27.27
Entrepreneur,38,Quantization in Depth,quantization-in-depth,100
Entrepreneur,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,100
Entrepreneur,"1,002",Pretraining LLMs,pretraining-llms,94.12
Entrepreneur,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,92.31
Entrepreneur,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,90.91
Entrepreneur,29,Open Source Models with Hugging Face,open-source-models-hugging-face,90.57
Entrepreneur,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,84.44
Entrepreneur,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,84.21
Entrepreneur,8,Building Systems with the ChatGPT API,chatgpt-building-system,79.75
Entrepreneur,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,77.78
Entrepreneur,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,77.42
Entrepreneur,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,77.27
Entrepreneur,6,LangChain for LLM Application Development,langchain,76.46
Entrepreneur,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,75
Entrepreneur,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,75
Entrepreneur,"1,003",Intro to Federated Learning,intro-to-federated-learning,75
Entrepreneur,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,74.76
Entrepreneur,44,AI Agents in LangGraph,ai-agents-in-langgraph,74.56
Entrepreneur,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,74.49
Entrepreneur,30,Knowledge Graphs for RAG,knowledge-graphs-rag,73.68
Entrepreneur,9,LangChain Chat with Your Data,langchain-chat-with-your-data,73.23
Entrepreneur,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,72.62
Entrepreneur,998,Generative AI for Everyone,genai4e,71.09
Entrepreneur,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,71.05
Entrepreneur,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,70.37
Entrepreneur,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,70.01
Entrepreneur,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,69.84
Entrepreneur,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,68.18
Entrepreneur,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,67.47
Entrepreneur,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,66.67
Entrepreneur,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,65.52
Entrepreneur,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,65.38
Entrepreneur,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,64.1
Entrepreneur,36,Getting Started with Mistral,getting-started-with-mistral,63.83
Entrepreneur,12,Large Language Models with Semantic Search,large-language-models-semantic-search,62.63
Entrepreneur,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,62.5
Entrepreneur,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,61.25
Entrepreneur,13,Finetuning Large Language Models,finetuning-large-language-models,59.68
Entrepreneur,7,How Diffusion Models Work,diffusion-models,59.48
Entrepreneur,26,Building Applications with Vector Databases,building-applications-vector-databases,59.09
Entrepreneur,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,58.33
Entrepreneur,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,58.33
Entrepreneur,33,Red Teaming LLM Applications,red-teaming-llm-applications,57.14
Entrepreneur,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,54.95
Entrepreneur,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,54.55
Entrepreneur,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,50
Entrepreneur,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,50
Entrepreneur,42,Introduction to on-device AI,introduction-to-on-device-ai,50
Entrepreneur,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,50
Entrepreneur,31,Efficiently Serving LLMs,efficiently-serving-llms,50
Entrepreneur,10,Building Generative AI Applications with Gradio,huggingface-gradio,49.54
Entrepreneur,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,47.62
Entrepreneur,45,Building Your Own Database Agent,building-your-own-database-agent,46.43
Entrepreneur,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,45.83
Entrepreneur,16,Pair Programming with a Large Language Model,pair-programming-llm,42.4
Entrepreneur,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,42.11
Entrepreneur,25,Automated Testing for LLMOps,automated-testing-llmops,38.46
Entrepreneur,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,37.5
Entrepreneur,24,LLMOps,llmops,32.31
Finance,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,100
Finance,"1,003",Intro to Federated Learning,intro-to-federated-learning,100
Finance,38,Quantization in Depth,quantization-in-depth,100
Finance,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,92.86
Finance,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,90.91
Finance,12,Large Language Models with Semantic Search,large-language-models-semantic-search,86.96
Finance,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,86.21
Finance,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,85.71
Finance,9,LangChain Chat with Your Data,langchain-chat-with-your-data,85
Finance,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,81.82
Finance,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,81.82
Finance,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,80
Finance,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,79.55
Finance,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,79.05
Finance,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,78.57
Finance,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,75
Finance,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,75
Finance,6,LangChain for LLM Application Development,langchain,74.49
Finance,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,71.43
Finance,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,70.37
Finance,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,69.57
Finance,44,AI Agents in LangGraph,ai-agents-in-langgraph,69.57
